INDEX,LABEL
買來用做PS和Pr等，性能非常強大，外觀非常好看，很輕很薄，界面顏色很好看，很流暢，視網膜屏幕很不錯，很舒適，比一般的IPS屏幕好很多，散熱很好,0
按事情音質非常不錯！屏幕分辨率煥然一新！第一次入手蘋果生態！感覺好極了。鍵盤也很耐用愛了愛了。不管是辦公還是商務，都非常適合。，電量:足夠的電量能維持一天，外觀:優雅且不失風範，性能:強大?,0
性能非常強大，外觀非常好看，很輕很薄，界面顏色很好看，很流暢，可以做多用途，京東自營肯定有正品保障，質量很好，京東物流效率很好，好評,0
運行速度：非常快，屏幕效果：顯示很細膩很爽啊！，散熱性能：散熱效果非常棒，外形外觀：深空灰很帥比銀色高級一些，輕薄程度：合適，男孩子來說不算重不是很厚,0
很流暢，用的很舒服，音質真的強，運行速度：很快，屏幕效果：Nice，散熱性能：比intel版的安靜，重度使用聽不到風扇聲，外形外觀：比mbp 13 pro厚一點，但是也很好看,0
超薄，絲滑，運行給了，運行特別快，聲音很大，給力，，散熱性能：一點不發熱。，屏幕效果：分辨率給力。，運行速度：快。邊看電影聽歌，打開一個文檔1秒打開。,0
挺好的 ，效能相當的高，比原來的2019 i9快很多，熱量也控制的很好，電池很耐用。,0
包裝絕對結實，不擔心任何運輸問題，查過序列號了，絕對正品行貨，這mac太漂亮了，觸控bar，指紋鎖，屏幕色彩真好，趕緊又下單了鍵盤膜，電腦夾，電腦包，tpye-c，哈哈，配齊了,0
人生第一台蘋果筆記本，聽到發佈會那一刻起，就春心萌動價格有點高，左等右等終於可以購買了。應該算是第一批搶購到的用戶吧！挺喜悅的用了幾天下來，沒感覺不適。速度非常快、做工精細、外放音樂效果完美，超級靜音，基本聽不見聲音，電池也是一大特點，超級耐用，目前正在適應中,0
運行速度：運行Ps、Pr的速度提升明顯快。，屏幕效果：更加細膩舒服。，散熱性能：發熱不明顯。，外形外觀：灰色的感覺很漂亮，macbookpro的材質都是一流水準。，輕薄程度：比上一代的要厚。,0
很棒，攜帶方便，第一次使用蘋果，確實比一般的筆記本好用多了，賣家很給力，有好多不懂的，都一一解答,0
蘋果的產品使用體驗很好，這款筆記本本身配置相對較高，運行速度很快，再加之蘋果的系統，很流暢。筆記本的外觀延續蘋果風格，個人比較喜好，很有質感，也很時尚。機器很薄，方便攜帶，鍵盤觸感很好，屏幕清晰、柔和，不刺眼，正常運行是噪音不大，使用很滿意。,0
買的蘋果macbook pro，做工沒的說了，懂行的都識貨，價格都一樣，懶得去專賣店了，快遞非常給力，第一天下單，第二天就送到了，包裝什麼的都沒問題，很喜歡。,0
我的電腦雖然說有些貴，但確實時。筆記本電腦的天花板。非常不錯。反應特別快。你才菌型的時候幾乎感受不到風扇的轉動，非常安靜。應用之間的切換非常流暢，而且是120赫茲的刷新率。在加上神奇效果的。動畫效果。,0
很好，很不錯，我也不太懂電腦，買蘋果的應該沒錯了，16英吋的，屏幕挺寬廣的，總之很喜歡。用了各種券，買下來2萬的樣子，還行吧。，運行速度：超快，屏幕效果：炫酷，散熱性能：很棒，外形外觀：漂亮,0
使用了一下午，總體感覺流暢，很安定，風扇一點都不轉。深空灰顏色很喜歡，很顯得大氣穩重。音效也不錯，13寸感覺不大不小剛剛好，很滿意！,0
運行速度：挺快的，屏幕效果：很不錯，散熱性能：很好，外形外觀：還可以，輕薄程度：有點厚，其他特色：電池很好，一晚上下來還有36%的電，棒棒的，鍵盤的敲起來，感覺很舒服，比我用的17年的air舒服?,0
已經買了兩個了，這次買了送老婆了，老婆很喜歡，喜歡蘋果的操作系統，運用很順手，而且這個配置，運行速度還是可以的，屏幕效果和散熱性能都不錯，關鍵這個外觀設計也是延續蘋果一貫的風格，值得信賴。,0
電腦還好，買了14天，降價1000多,0
運行速度：運行速度特別快比我之前的windows系統電腦快很多，屏幕效果：傳說中的視網膜顯示非常棒，色彩亮麗平面設計非常棒，散熱性能：散熱性能非常好被動散熱，外形外觀：金屬外殼經典的logo非常喜歡,0
屏幕效果：相當不錯，畫面非常細膩，顏色飽滿，散熱性能：正常使用未見發熱，也無異聲，外形外觀：外觀也很好看，深空灰的顏色很高尚，輕薄程度：重量正常吧，沒有很輕，但是也不中，中規中矩，運行速度：M1PRO芯片自然不用說，運行飛快，總體來說，血賺,0
雙十一買的，本來週日到，結果今天週五就到了，感謝快遞小哥！！，很多代以前的bookpro換的這款，比想像中的要大很多，屏幕很清晰，略沉了一些，但可以接受，畢竟目前為止地表最強。，先用一段時間，再來評價性能。,0
第一次用MacBook pro，和windows 系統截然不同，很多都不太習慣，慢慢去適應，感覺就是很驚艷，用來剪輯視頻應該很棒，，運行速度：還沒體驗，屏幕效果：很清晰，分辨率很高，散熱性能：應該要用一段時間才知道,0
超級喜歡這款電腦，性能特別優越，芯片和配置都是頂級水平，玩遊戲不用擔心電腦運行困難，也不會發出響聲，而且鍵盤用起來非常舒服，這種購物體驗非常滿意！，運行速度：非常快，屏幕效果：分辨率和圖像非常清晰，散熱性能：非常好，不響，外形外觀：外形外觀：灰色，非常適合商務使用,0
?發貨很快，兩三天就到了，這個顏色我很喜歡，性價比很高，非常nice，運行速度：好，屏幕效果：好，散熱性能：好，外形外觀：好，輕薄程度：適合,0
運行速度：運行速度很快 相比較自己用的macbookair，屏幕效果：不愧是xdr顯示  屏幕素質沒話說，外形外觀：外觀選了深空灰 輕薄便攜  攜帶也很方便，輕薄程度：可以放進書包,0
運行速度：目前用過的最快的筆記本電腦，沒有之一，屏幕效果：驚艷的視覺效果，散熱性能：只能說冷冰冰，外形外觀：小巧輕薄 時尚簡約 充滿科技感，輕薄程度：很小很靈活，其他特色：其他特色：第一次用 以舊換新的服務 感覺還不錯,0
心儀已久終於下手來了，運行速度很快，無卡頓，屏幕分辨率真的高，用了這麼久基本都沒發熱過。外觀不用說，好看好看還是好看。還好買了pro，已經很薄了，還很輕便，特別喜歡?,0
物流很快，快遞小哥服務態度很好，包裝完好，無損壞。筆記本質感很好，運行速度很快，很容易上手，音質很棒，畫面很清晰。,0
運行速度：很快很流暢。i9處理器。，，屏幕效果：屏幕很清晰，高分屏。，，，外形外觀：輕薄便攜。，其他特色：孩子是學設計的，之前考察了很多款電腦，最終還是選擇了蘋果。在學校老師也是用蘋果授課傳輸保存數據，用蘋果的比較方便。這款配置高，有快捷鍵。運行流暢音頻也很好，端口多充，100w充電器充電迅速。孩子很滿意。,0
屏幕效果：色彩飽滿，顏色很正，散熱性能：散熱效果很好，我連著看了五六個小時的視頻，一點都不熱，外形外觀：很漂亮，簡單大方，輕薄程度：輕薄，便於攜帶，很適合女孩子攜帶出行,0
運行速度：運行速度非常快，不卡頓，幹活非常舒服。，屏幕效果：清晰，色彩鮮艷。，散熱性能：散熱還是可以的。，外形外觀：很有辨識度。,0
不錯，買的M1Pro標準版加1t硬盤，發貨很快，第二天就能收到貨，已經玩了幾天了，整體做工很精緻，運行流暢，不發熱，很喜歡，好評！,0
運行速度：流暢，MacOS 需要慢慢熟悉，但是整體還是很好用的~，屏幕效果：非常棒?正是我需要的效果，散熱性能：發熱不是很高，因為我也不玩大型遊戲，mac 上遊戲不多，也是好事。，整體來說使用感受甚好！學習和工作非常合適,0
運行速度：運行速度加快，比起上一個兩年前買的本本快了很多，滿意。，屏幕效果：屏幕分辨率高，色彩絢麗，很漂亮。，散熱性能：散熱一般，長時間使用有些熱。，外形外觀：一如既往的蘋果特色，做工精良，材質上乘。，輕薄程度：跟Mac Air比起來肯定厚一些。，其他特色：四個雷靂3可真&ldquo;害苦&rdquo;了我，iPhone 11 pro max無法直接連接到筆記本上，必須要購買轉換器了。,0
本本給力，入手後就愛不釋手，終於擁有了第一個mac本，雖然是14寸底配 已經可以滿足我的需求了。很滿意。優秀呀優秀,0
給公司買了好幾台MacBook Pro了，習慣了在京東買數碼產品，比較省心，運行速度：M1芯片的強大肉眼可見，性能不錯，給運營同學完全夠用，散熱性能：得益於強大的M1，雖然無主動散熱，但功率及發熱控制的很不錯,0
M1 PRO真香，京東速度真快！續航時間真長，運行起來真安靜，沒碰見過熱的感覺，高性能，高冷，安靜的蘋果能讓人安靜的思考和寫作，很喜歡！狂推！，運行速度：穩，快，屏幕效果：rentia屏幕，視網膜屏，散熱性能：功耗低的驚人，風扇不知道轉不轉，外形外觀：時尚，大方，都看得見，輕薄程度：厚度不比air厚，其他特色：手感真好,0
非常喜歡MacBook，外觀簡約精緻，性能強悍，macOS對比熟悉了十幾年的windows系統，簡直就像是一片汪洋大海，既美麗又充滿神秘和未知，值得花時間去研究和探索一番，是一款非常值得購買的辦公娛樂影音設備,0
剛買半個月可掉價了哈哈哈,0
好用不虧是最好的生產力工具。，運行速度：很快，屏幕效果：很清晰的，散熱性能：散熱很穩健，外形外觀：輕便，輕薄程度：比上一代厚，其他特色：接口齊全。，不用管理感覺很不錯。開機記用。就把你深深藏在我心中,0
